epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.78,0.69197,3.64647,1.227,0.19028,0.92754,0.39459,0.29179,0.80925,3.60838,1.63327,9.996e-05,9.996e-05,9.996e-05
2,16.832,0.63849,2.8147,1.16625,0.21465,0.98188,0.70064,0.55992,0.60534,3.54194,1.46211,0.000200227,0.000200227,0.000200227
3,21.9649,0.63825,1.79646,1.15901,0.06804,1,0.79394,0.55722,0.86708,3.18647,1.87184,0.000293425,0.000293425,0.000293425
4,27.005,0.68373,1.38244,1.21724,0.99059,0.31014,0.84033,0.63754,0.80451,2.58029,1.67823,0.000379555,0.000379555,0.000379555
5,32.148,0.61765,1.25219,1.12392,1,0.37263,0.82366,0.59137,0.8126,2.75394,1.63809,0.000458616,0.000458616,0.000458616
6,36.877,0.5807,1.17605,1.10196,0.97728,0.4248,0.7388,0.49863,0.93937,2.47788,1.77485,0.000530609,0.000530609,0.000530609
7,41.707,0.62177,1.1527,1.15339,0.8908,0.26449,0.58503,0.31583,1.64735,3.21844,2.53337,0.000572628,0.000572628,0.000572628
8,47.3541,0.63685,1.11409,1.15274,0.89696,0.54156,0.83304,0.62955,0.86555,2.42881,1.69485,0.000549066,0.000549066,0.000549066
9,52.1619,0.59831,1.03224,1.1161,0.91855,0.66286,0.85827,0.60109,1.25514,1.83458,2.02766,0.000525504,0.000525504,0.000525504
10,57.042,0.5839,0.97657,1.08355,0.74922,0.73551,0.81515,0.5458,1.23753,1.76232,2.10336,0.000501942,0.000501942,0.000501942
11,61.647,0.59611,0.95666,1.12398,0.91136,0.77217,0.88032,0.58394,1.16867,1.85764,2.10945,0.00047838,0.00047838,0.00047838
12,66.8713,0.57689,0.9168,1.08194,0.79666,0.55297,0.70874,0.50543,1.51541,2.56351,2.31306,0.000454818,0.000454818,0.000454818
13,71.6229,0.56853,0.89684,1.09448,0.93405,0.81264,0.87854,0.70411,0.78159,1.32778,1.51572,0.000431256,0.000431256,0.000431256
14,76.2742,0.54511,0.78507,1.06478,0.94149,0.83333,0.88999,0.73005,0.81675,1.24021,1.57318,0.000407694,0.000407694,0.000407694
