epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.963,1.73282,3.88996,1.58955,0.39362,0.2243,0.14727,0.07769,1.48852,3.04608,1.36262,0.000232465,0.000232465,0.000232465
2,64.8774,1.53756,2.04613,1.34307,0.56209,0.2341,0.18784,0.09808,1.51979,2.90714,1.44727,0.000423889,0.000423889,0.000423889
3,79.9813,1.55706,1.93176,1.38396,0.34169,0.25948,0.14267,0.06897,1.63361,2.93101,1.51396,0.000568189,0.000568189,0.000568189
4,94.7705,1.52319,1.82999,1.36601,0.47679,0.23983,0.1623,0.08473,1.57304,2.34732,1.44834,0.000501942,0.000501942,0.000501942
5,109.379,1.50165,1.67586,1.34184,0.4266,0.26074,0.20733,0.11111,1.53006,1.83015,1.40652,0.000431256,0.000431256,0.000431256
6,124.114,1.44937,1.55232,1.33512,0.61487,0.28122,0.28127,0.16535,1.45043,1.58686,1.35515,0.00036057,0.00036057,0.00036057
7,138.362,1.40451,1.39541,1.28248,0.43519,0.35747,0.3267,0.18713,1.42619,1.37678,1.31953,0.000289884,0.000289884,0.000289884
8,153.034,1.361,1.28705,1.25425,0.65056,0.3274,0.35176,0.20645,1.38994,1.2772,1.2898,0.000219198,0.000219198,0.000219198
9,168.934,1.328,1.183,1.23035,0.75813,0.31777,0.35578,0.21857,1.3749,1.2831,1.29082,0.000148512,0.000148512,0.000148512
10,183.304,1.29309,1.10253,1.20417,0.48043,0.37613,0.39436,0.24064,1.36041,1.23237,1.26797,7.7826e-05,7.7826e-05,7.7826e-05
