fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01001,0.00996,0.93682,0.0005,2.99096,0.79906,7.5246,0.49882,1.49901,0.01501,0.70086,0.39953,0.0,0.0999,0.49858,0.0,0.0,0.0,0.49988,0.0,1.0,0.0,0.0
0.0,0.0103,0.01014,0.93762,0.00051,2.99096,0.84059,7.4664,0.51311,1.5144,0.01451,0.69943,0.40321,0.0,0.10047,0.49858,0.0,0.0,0.0,0.50684,0.0,1.0,0.0,0.0
0.0,0.01036,0.01029,0.93975,0.00051,2.99096,0.84088,7.60555,0.51003,1.46046,0.01458,0.69894,0.39461,0.0,0.10155,0.49192,0.0,0.0,0.0,0.51284,0.0,1.0,0.0,0.0
0.0,0.01037,0.01025,0.9491,0.00051,3.03911,0.8647,7.6482,0.53145,1.51633,0.01463,0.69652,0.39016,0.0,0.09827,0.51069,0.0,0.0,0.0,0.53604,0.0,0.99578,0.0,0.0
0.0,0.00898,0.00996,0.90278,0.00044,3.54974,0.89811,7.60078,0.42704,1.12942,0.01672,0.81563,0.40018,0.0,0.10525,0.52363,0.0,0.0,0.0,0.461,0.0,1.0,0.0,0.0
0.0,0.0103,0.01011,0.93584,0.00054,3.10336,0.85887,7.48511,0.48363,1.57057,0.01451,0.71072,0.41252,0.0,0.09735,0.52847,0.0,0.0,0.0,0.55742,0.0,1.0,0.0,0.0
0.0,0.01024,0.01014,0.939,0.00051,3.04697,0.7547,8.34124,0.49875,1.62342,0.01542,0.71606,0.349,0.0,0.09582,0.53982,0.0,0.0,0.0,0.50684,0.0,0.93082,0.0,0.0
0.0,0.00985,0.01102,0.9491,0.00058,3.59238,0.95,8.3089,0.53145,1.21026,0.01583,0.69652,0.35509,0.0,0.09905,0.47761,0.0,0.0,0.0,0.53604,0.0,0.99578,0.0,0.0
0.0,0.00938,0.00914,0.93322,0.00049,3.0,0.75657,8.22982,0.4722,1.19022,0.01474,0.67574,0.38055,0.0,0.1,0.4582,0.0,0.0,0.0,0.51886,0.0,1.0,0.0,0.0
