fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.0099,0.00996,0.91997,0.00048,3.0273,0.76722,7.5,0.5,1.32524,0.0165,0.70045,0.39144,0.0,0.10243,0.50512,0.0,0.0,0.0,0.52342,0.0,0.9066,0.0,0.0
0.0,0.0102,0.01097,0.937,0.00051,3.31967,0.7762,7.41202,0.5048,1.5,0.01669,0.7,0.4,0.0,0.1,0.44535,0.0,0.0,0.0,0.44042,0.0,0.999,0.0,0.0
0.0,0.01033,0.0092,0.87616,0.00048,3.0273,0.89477,7.5,0.51702,1.32524,0.01739,0.72099,0.4542,0.0,0.11552,0.44673,0.0,0.0,0.0,0.45741,0.0,1.0,0.0,0.0
0.0,0.01312,0.00814,0.9272,0.00049,2.76808,0.71328,7.71092,0.5048,1.52648,0.01652,0.66903,0.43418,0.0,0.09555,0.45629,0.0,0.0,0.0,0.44326,0.0,1.0,0.0,0.0
0.0,0.01246,0.00983,0.87633,0.00046,2.94853,0.74432,8.52036,0.51702,1.45645,0.01739,0.5612,0.48603,0.0,0.11274,0.48663,0.0,0.0,0.0,0.5558,0.0,1.0,0.0,0.0
0.0,0.01285,0.00957,0.96774,0.00043,2.76808,0.67791,7.6176,0.53105,1.28061,0.01652,0.66903,0.43418,0.0,0.10319,0.37328,0.0,0.0,0.0,0.40037,0.0,0.81998,0.0,0.0
0.0,0.01015,0.01097,0.93731,0.00052,3.34573,0.76849,7.51675,0.5091,1.46861,0.01655,0.7036,0.4,0.0,0.09923,0.44535,0.0,0.0,0.0,0.44042,0.0,0.9958,0.0,0.0
0.0,0.01,0.01163,0.98,0.00046,2.49785,0.53755,9.32494,0.56563,0.91509,0.01333,0.68144,0.38173,0.0,0.1,0.5,0.0,0.0,0.0,0.68041,0.0,0.73696,0.0,0.0
0.0,0.00958,0.01097,0.937,0.00052,3.38293,0.74896,7.08081,0.5048,1.48088,0.01725,0.66355,0.43312,0.0,0.1,0.44535,0.0,0.0,0.0,0.47851,0.0,0.93276,0.0,0.0
0.0,0.01607,0.00996,0.91668,0.00037,2.82256,0.66848,5.83791,0.51108,1.35178,0.01595,0.68702,0.47544,0.0,0.09759,0.45015,0.0,0.0,0.0,0.36705,0.0,1.0,0.0,0.0
0.0,0.008,0.00849,0.93829,0.00053,3.0273,0.71358,8.26806,0.63012,1.15001,0.0165,0.68191,0.37069,0.0,0.09388,0.5482,0.0,0.0,0.0,0.52342,0.0,0.77521,0.0,0.0
